Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Anon. Iambl.,"5,6","3,1","2,73","3,07","3,67","0,22","0,16","2,96","5,76","0,1","1,12","0,23","0,56","0,33","4,2","1,71","0,14","0,26","20,93","0,46","0,12","0,11","0,23","0,42","0,41","0,01","1,08","1,91","1,68","0,18","0,05"
Andocides,"3,77","1,6","1,96","11,41","14,84","2,09","1,51","17,21","3,6","13,61","4,63","0,01","6,85","0,12","5,91","2,55","1,36","2,41","2,04","4,3","1,13","1,02","2,15","1,5","1,63","0,13","32,01","1,17","0,53","1,7","0,45"
Isokrates,"4,7","22,37","7,37","170,58","124,15","71,02","0,5","27,66","0,01","38,15","23,58","45,97","0,37","1,5","106,1","42,52","64,85","52,02","7,85","14,9","21,06","2,41","0,29","2,95","0,83","8,84","1,19","3,35","20,86","27,66","2,98"
Xenophon,"4,7","1,38","2,62","19,78","13,9","3,12","10,24","92,95","17,44","75,76","17,71","8,91","16,01","0,29","43,29","36,46","9,23","0,02","8,04","21,84","7,64","2,49","14,57","2,91","2,55","0,87","486,66","6,2","2,98","11,54","0,22"
Xenophon,"4,14","16,4","21,83","2,21","0,86","16,48","15,52","0,28","6,75","4,77","20,23","21,47","1,17","6,58","1,35","14,48","0,04","32,18","5,54","0,22","0,2","10,5","1,28","5,91","8,05","1,38","218,51","229,5","189,04","20,87","23,72"
Drama (sum),"0,21","1,69","0,77","1,31","4,32","38,54","0,59","132,93","3,55","173,46","21,95","12,47","29,48","11,23","44,42","49,39","10,1","10,46","31,64","32,7","0,71","18,51","18,44","11,12","12,58","2,85","47,76","40,34","29,8","9,28","4,96"
"Epik, lyrik sum","1,67","4,22","24,89","246,8",,,,"11,03","1,38","21,01","47,28","6,21","15,72","38,96","5,84","0,01","17,31","30,57","2,64","19,75","5,42","12,99","5,9","28,51","27,15","1,62","0,56","38,06",,,
Historie,"4,26","5,92","0,05","0,02","0,01","8,85","6,1","168,55","9,69","177,58","38,58","20,25","12,87","9,28","153,7","96,39","29,97","14,91","24,36","24,86","2,5","6,93","17,47","0,17",,,,,,,
Presocratics,"8,08","4,97","3,83","5,12","4,95","1,57","1,88","58,85","11,17","47,69","2,42","5,54","0,03","0,51","9,79","2,87","5,92","0,14","6,05","1,39","1,4","1,27","0,1","4,98",,,,,,,
Samtidige,"593,52","180,63","439,8","265,92","130,46","327,26","19,32","149,27","157,62","41,79","162,88","213,14","14,35","12,57","23,85","34,61","238,27","94,87","42,59","7,26","0,04","7,75","5,04",61,,,,,,,
Platon,"814,84","250,43","592,91","235,2","97,43","353,81","22,41","295,16","217,99","120,28","164,04","215,05","17,85","8,31","4,59","105,7","274,97","53,01","38,86","39,82","7,41","12,08","21,07","102,82","73,49","44,2","1178,64","464,82","409,38","43,89","11,52"
Platon inkl. Sp.,"751,35","229,27","550,15","276,74","127,83","359,84","25,16","340,86","193,6","172,99",163,"211,1","18,51","8,53","5,76",112,"265,96","73,47","34,23","33,9","5,79","8,95","19,9","93,79","66,94","41,11","1274,06","502,45","442,53","47,45","12,45"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risiko i %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homer,"0,06462992","0,24504709","0,0000048",0,0,"0,00000236","0,00005882",0,"0,00000003",0,0,"0,00039981",0,"0,00000001","0,04204689","0,34362008","0,00013657","0,0000004","0,00000299",0,"0,0005184","0,00095562","0,00000165","0,00000006","0,00000011","0,24285599","0,03771244",0,"7,28E-008","2,00E-005","0,294373445"
Hesiod,"0,17843836","0,79782137","0,07753077","0,00001452","0,00010533","0,0684778","0,12097431","0,00007396","0,20144627","0,00011353","0,00004302","0,06179711","0,00375259","0,0272143","0,00142602","0,03194065","0,14094811","0,05042759","0,07136262","0,00890544","0,1803158","0,20230223","0,06438194","0,01162298","0,01303567","0,65214466","0,00066978","0,00025943","0,001082286","0,099753215","0,399036649"
Solon,"0,53407922","0,68566464","0,65395339","0,04732879","0,05903975","0,64360512","0,69372567","0,3088246","0,18660979","0,73476991","0,29888686","0,63527149","0,46171989","0,57490835","0,13339005","0,1981446","0,70848823","0,61932089","0,64701091","0,50652678","0,73367433","0,7460932","0,63857468","0,52163824","0,52835914","0,90885878","0,68241193","0,33421355","0,269499071","0,675932788","0,830414924"
Theognis,"0,14425621","0,34188621","0,29249327","0,00318197","0,00213623","0,6308637","0,35509495","0,00000008","0,00000018","0,00320699","0,00039665","0,00461775","0,00121764","0,18784246","0,61124994","0,78279772","0,37995348","0,24335455","0,61860645","0,04823526","0,34019533","0,44704365","0,02978517","0,89693695","0,92355613","0,78806536","0,02308712","0,02482651","0,010229469","0,326289038","0,615017576"
Heraklit,"0,38521362","0,57191988","0,53130325","0,65660812","0,79323825","0,51820836","0,58235592","0,00000252","0,00653024","0,000108","0,41305248","0,50772294","0,30402161","0,04311234","0,27666029","0,77121122","0,13404041","0,24997169","0,5225091","0,3535987","0,63468203","0,65113989","0,51187251","0,37083684","0,37858313","0,87298467","0,17473428","0,41802625","0,320671928","0,559379374","0,764873489"
Aeschylos,"0,16707289","0,54993078","0,00273492","0,00665727","0,01428604","0,00198667","0,48068903","0,04325974","0,00004892","0,48589094","0,73588354","0,00152375","0,86861992","0,33763346","0,83298979","0,42682931","0,01245875","0,08165388","0,00034885","0,05495705","0,8372089","0,71645586","0,02683466","0,42265515","0,47808988","0,44420289",0,"0,00466908","0,01355807","0,277577777","0,152314817"
Pindar,"0,18009218","0,00440222","0,06681337","0,00000018","0,00000047","0,0585237","0,78029375",0,0,0,"0,13973837","0,05245087","0,84427311","0,02183832","0,1474591","0,01682858","0,12632374","0,04221611","0,00350999","0,88786134","0,98133919","0,1855221","0,44850392","0,1204371","0,13299377","0,6397263","0,08467914","0,00048571","0,002061947","0,087411947","0,381191916"
Anaxagoras,"0,51128267","0,66897068","0,63582338","0,36590436","0,43761901","0,62502243","0,67740779","0,37060393","0,2105431","0,81079886","0,27247428","0,61633032","0,43685947","0,55354788","0,54239188","0,17402105","0,6928699","0,00839465","0,6285763","0,48286633","0,71927977","0,73231513","0,61977494","0,49844048","0,5053759","0,90374544","0,02211887","0,15071599","0,177468516","0,658790591","0,821012997"
